,Image.Name,Date,Altitude,var,dens,Rows,Plots,Intensity,Hue,Saturation,Lightness,a.,b.,u.,v.,GA,GGA,CSI,NGRDI,NGRDIveg,TGI,TGIveg
379,R-002_Plot-030,2022-05-03,50m,MARCOPOLO,70,R2,215,0.2051692,135.90833,0.20033908,25.752499,-15.463468,11.935929,-12.055047,13.541175,0.99973533,0.992059891,0.767747059,0.2563,0.2564,1965.7664,1965.9461
97,R-001_Plot-015,2022-01-19,15m,MARCOPOLO,280,R1,115,0.34320143,44.422783,0.09598881,38.21341,-2.8046012,12.172115,2.24841,13.925743,0.167538805,0.022107041,86.80482341,-0.0199,0.0112,511.6887,685.527
388,R-003_Plot-031,2022-02-03,30m,MARCOPOLO,560,R3,301,0.30450717,37.36489,0.10279423,33.807873,-1.528187,11.253704,3.3508773,12.21253,0.067889421,0.003040936,95.52075176,-0.0336,0.008,356.5276,620.2255
415,R-003_Plot-032,2022-02-03,30m,BOLOGNA,70,R3,302,0.3382957,31.194448,0.10007244,37.295757,-0.60396504,11.738865,4.9241304,12.988123,0.00426369,0.000116959,97.25685786,-0.0459,0.0048,245.2177,574.5885
100,R-001_Plot-015,2022-03-09,30m,MARCOPOLO,280,R1,115,0.22500718,92.00073,0.09731531,25.834312,-6.6561494,10.216989,-3.2502754,10.815488,0.835250529,0.609677449,27.00663717,0.0725,0.0898,898.472,1002.343
101,R-001_Plot-015,2022-03-22,50m,MARCOPOLO,280,R1,115,0.14343154,120.86233,0.10204893,16.580185,-8.572306,8.599842,-4.9400196,7.8084197,0.999054749,0.961017846,3.807289104,0.1619,0.1621,1039.1555,1039.6518
393,R-003_Plot-031,2022-05-03,50m,MARCOPOLO,560,R3,301,0.15744384,125.31222,0.1948657,20.225817,-14.372754,12.852023,-9.7225485,12.623387,1,1,0,0.2838,0.2838,1933.8046,1933.8046
429,R-003_Plot-033,2022-02-03,30m,HONDIA,35,R3,303,0.344036,29.39222,0.09064078,37.79419,-0.49773246,11.228298,4.8607755,12.512667,0.003636364,0.000212653,94.15204678,-0.0452,0.0036,184.7388,441.1671
104,R-001_Plot-015,2022-03-09,15m,MARCOPOLO,280,R1,115,0.23502545,99.674324,0.10797161,27.55029,-8.696316,11.642702,-5.106747,12.696768,0.883035997,0.690170232,21.84121203,0.112,0.1286,1205.6196,1301.238
105,R-001_Plot-015,2022-01-19,30m,MARCOPOLO,280,R1,115,0.35567918,41.923218,0.10748041,39.62936,-2.4352944,13.185754,3.225003,15.070967,0.087701306,0.006560043,92.52001686,-0.0272,0.0083,540.2047,820.144
