"","cp","Accuracy_train","Kappa_train","AccuracySD_train","KappaSD_train","Accuracy_test","AccuracyPValue_test","Kappa_test","PC","date","alt","k","repetitions","CV","split"
"776",0.001,0.525499278,0.396653052,0.071679844,0.092373291,0.666666667,0.018758432,0.542857143,2,"09/03/2022","30m",5,10,"cv510","8020split"
"777",0.001,0.23780303,0.058975614,0.097124734,0.125705469,0.416666667,0.368479286,0.275862069,0,"02/06/2022","50m",5,10,"cv510","8020split"
"778",0.001,0.234368687,0.0469997,0.109488659,0.129158403,0,1,-0.125,2,"02/06/2022","50m",5,10,"cv510","8020split"
"779",0.001,0.717424242,0.641335954,0.113106371,0.144298283,0.583333333,0.06644764,0.487179487,0,"22/03/2022","50m",5,10,"cv510","8020split"
"780",0.001,0.70969697,0.630784956,0.089826492,0.115632764,0.583333333,0.06644764,0.487179487,3,"22/03/2022","50m",5,10,"cv510","8020split"
"781",0.001,0.647606061,0.555713936,0.087674944,0.111008028,0.5,0.177722456,0.357142857,0,"19/04/2022","50m",5,10,"cv510","8020split"
"782",0.001,0.505858586,0.376895747,0.099447837,0.121519896,0.166666667,0.946048574,-0.043478261,3,"19/04/2022","50m",5,10,"cv510","8020split"
"783",0.001,0.563323232,0.443941666,0.078666388,0.096308405,0.833333333,0.004029535,0.76,0,"05/04/2022","50m",5,10,"cv510","8020split"
"784",0.001,0.610212121,0.501344543,0.090865793,0.110115681,0.333333333,0.808403993,0.165217391,4,"05/04/2022","50m",5,10,"cv510","8020split"
"785",0.001,0.263151756,0.078488502,0.069519661,0.087343848,0.222222222,0.900561072,0.028901734,0,"26/05/2022","15-30-50m",5,10,"cv510","8020split"
"786",0.001,0.221386779,0.025643464,0.046133741,0.057188103,0.138888889,0.994118557,-0.07204611,3,"26/05/2022","15-30-50m",5,10,"cv510","8020split"
"787",0.001,0.29510101,0.120962631,0.107022369,0.136294221,0.166666667,0.946048574,-0.142857143,0,"26/05/2022","50m",5,10,"cv510","8020split"
"788",0.001,0.224737374,0.025008074,0.100597862,0.123436103,0.083333333,0.992292653,-0.056,3,"26/05/2022","50m",5,10,"cv510","8020split"
"789",0.001,0.178426407,-0.032290469,0.097959675,0.127345587,0.083333333,0.992292653,-0.047619048,0,"26/05/2022","15m",5,10,"cv510","8020split"
"790",0.001,0.256116162,0.057924877,0.106314181,0.138671942,0.25,0.818877354,0.068965517,3,"26/05/2022","15m",5,10,"cv510","8020split"
"791",0.001,0.239085859,0.048604461,0.137831711,0.170261629,0,1,-0.133858268,0,"26/05/2022","30m",5,10,"cv510","8020split"
"792",0.001,0.245373737,0.057479685,0.108801668,0.138013094,0.166666667,0.946048574,-0.016949153,3,"26/05/2022","30m",5,10,"cv510","8020split"
"793",0.001,0.481496781,0.348797197,0.105539827,0.130585116,0.416666667,0.13187863,0.301455301,0,"14/02/2022","15-30m",5,10,"cv510","8020split"
"794",0.001,0.378987321,0.222953921,0.097021608,0.120770682,0.375,0.245115903,0.203539823,3,"14/02/2022","15-30m",5,10,"cv510","8020split"
"795",0.001,0.567621212,0.456745917,0.167432433,0.20939003,0.666666667,0.00278151,0.58974359,0,"14/02/2022","15m",5,10,"cv510","8020split"
"796",0.001,0.418171717,0.266443627,0.124103902,0.149660618,0.333333333,0.351221383,0.2,3,"14/02/2022","15m",5,10,"cv510","8020split"
"797",0.001,0.451459596,0.305658391,0.106695398,0.132639407,0.5,0.177722456,0.379310345,0,"14/02/2022","30m",5,10,"cv510","8020split"
"798",0.001,0.325863636,0.148031363,0.103965251,0.127823428,0.166666667,0.946048574,0.047619048,3,"14/02/2022","30m",5,10,"cv510","8020split"
"799",0.001,0.406827952,0.256467923,0.107279032,0.135355148,0.375,0.405533926,0.222462203,0,"03/02/2022","15-30m",5,10,"cv510","8020split"
"800",0.001,0.349964077,0.182546821,0.089741691,0.108190614,0.166666667,0.980099931,0.016393443,3,"03/02/2022","15-30m",5,10,"cv510","8020split"
"801",0.001,0.420136364,0.264196658,0.090627223,0.108644565,0.333333333,0.808403993,0.102803738,0,"03/02/2022","30m",5,10,"cv510","8020split"
"802",0.001,0.292707071,0.100849348,0.121733451,0.1443834,0.25,0.932866946,0.1,4,"03/02/2022","30m",5,10,"cv510","8020split"
"803",0.001,0.378994949,0.213388215,0.109230654,0.137759183,0.666666667,0.018758432,0.555555556,0,"03/02/2022","15m",5,10,"cv510","8020split"
"804",0.001,0.44391342,0.292939831,0.1406061,0.174806316,0.5,0.177722456,0.368421053,3,"03/02/2022","15m",5,10,"cv510","8020split"
"805",0.001,0.349782828,0.183415229,0.124711739,0.15229578,0.166666667,0.946048574,0.047619048,0,"03/05/2022","50m",5,10,"cv510","8020split"
