"","contrast","estimate","SE","df","t.ratio","p.value"
"234","(03/02/2022_15m_PC_cv520_8020split) - (22/03/2022_50m_var_cv1010_8020split)",-0.1213948052,0.0274055986326698,507,-4.42956225211905,0.0375060064710862
"235","(03/02/2022_15m_PC_cv520_8020split) - (22/03/2022_50m_var_cv510_8020split)",-0.100084776299999,0.0274055986326697,507,-3.65198285363085,0.930753202149588
"236","(03/02/2022_15m_PC_cv520_8020split) - (22/03/2022_50m_var_cv520_8020split)",-0.137209903999999,0.0274055986326697,507,-5.00663772534542,0.00248064426614485
"237","(03/02/2022_15m_PC_cv520_8020split) - (22/03/2022_50m_var_trainonly_nosplit)",-0.325167424299999,0.0274055986326697,507,-11.8649998731417,2.57710174042662e-25
"238","(03/02/2022_15m_PC_trainonly_nosplit) - (03/02/2022_15m_var_cv1010_8020split)",0.0101246032333327,0.0258382461808499,507,0.391845606024012,1
"239","(03/02/2022_15m_PC_trainonly_nosplit) - (03/02/2022_15m_var_cv510_8020split)",-0.0142745310000001,0.0274055986326697,507,-0.520861857145631,1
"240","(03/02/2022_15m_PC_trainonly_nosplit) - (03/02/2022_15m_var_cv520_8020split)",0.0295517316500002,0.0296014297371622,507,0.998321091663368,1
"241","(03/02/2022_15m_PC_trainonly_nosplit) - (03/02/2022_15m_var_trainonly_nosplit)",-0.049973412900001,0.0223765775818525,507,-2.23329115979423,1
"242","(03/02/2022_15m_PC_trainonly_nosplit) - (03/02/2022_30m_PC_cv1010_8020split)",0.0372992063999972,0.052477726070415,507,0.710762626222576,1
"243","(03/02/2022_15m_PC_trainonly_nosplit) - (03/02/2022_30m_var_cv1010_8020split)",0.0156325393999969,0.0524777260704159,507,0.297889039228201,1
"244","(03/02/2022_15m_PC_trainonly_nosplit) - (03/02/2022_30m_var_cv510_8020split)",0.0290997114000031,0.0387573692712752,507,0.750817507667378,1
"245","(03/02/2022_15m_PC_trainonly_nosplit) - (03/02/2022_30m_var_cv520_8020split)",-0.0153447326000001,0.0524777260704164,507,-0.292404678118294,1
"246","(03/02/2022_15m_PC_trainonly_nosplit) - (05/04/2022_50m_PC_cv1010_8020split)",-0.153629365000003,0.0223765775818527,507,-6.86563280010237,6.29135378648658e-08
"247","(03/02/2022_15m_PC_trainonly_nosplit) - (05/04/2022_50m_PC_cv510_8020split)",-0.155030278822223,0.0229897480306822,507,-6.74345271706844,1.36909074948074e-07
"248","(03/02/2022_15m_PC_trainonly_nosplit) - (05/04/2022_50m_PC_cv520_8020split)",-0.155487589999999,0.0223765775818524,507,-6.94867610702455,3.68542344508683e-08
"249","(03/02/2022_15m_PC_trainonly_nosplit) - (05/04/2022_50m_PC_trainonly_nosplit)",-0.184882936399998,0.0223765775818524,507,-8.26234198342913,4.06649932139795e-12
"250","(03/02/2022_15m_PC_trainonly_nosplit) - (05/04/2022_50m_var_cv1010_8020split)",-0.136662698300003,0.0223765775818526,507,-6.10739948055491,6.53659171432298e-06
"251","(03/02/2022_15m_PC_trainonly_nosplit) - (05/04/2022_50m_var_cv510_8020split)",-0.115874675266668,0.0229897480306823,507,-5.04027600093835,0.00209932983498199
"252","(03/02/2022_15m_PC_trainonly_nosplit) - (05/04/2022_50m_var_cv520_8020split)",-0.131165908999999,0.0223765775818524,507,-5.86175023951722,2.67574703480482e-05
"253","(03/02/2022_15m_PC_trainonly_nosplit) - (05/04/2022_50m_var_trainonly_nosplit)",-0.2446726189,0.0223765775818525,507,-10.9343181728751,1.27500746871761e-21
"254","(03/02/2022_15m_PC_trainonly_nosplit) - (09/03/2022_15-30m_PC_cv1010_8020split)",-0.121079978299996,0.0223765775818523,507,-5.41101416680421,0.000313636944590188
"255","(03/02/2022_15m_PC_trainonly_nosplit) - (09/03/2022_15-30m_PC_cv510_8020split)",-0.155603231000001,0.0223765775818525,507,-6.95384405550004,3.56418939391795e-08
"256","(03/02/2022_15m_PC_trainonly_nosplit) - (09/03/2022_15-30m_PC_cv520_8020split)",-0.117093163999998,0.0223765775818524,507,-5.23284508418131,0.00079309668748567
