date,alt,PC,mtry,OOB,X35,X70,X140,X280,X560,Accuracy_test,AccuracyPValue_test,Kappa_test
26/05/2022,50m,3,1,0.833333333,0.7,1,0.9,0.75,0.818181818,0.333333333,0.606925322,0.135135135
26/05/2022,50m,3,1,0.770833333,0.545454545,0.777777778,0.714285714,1,0.833333333,0.166666667,0.985141386,0.083969466
26/05/2022,50m,3,1,0.8125,0.666666667,1,1,0.727272727,0.7,0.166666667,0.946048574,-0.034482759
26/05/2022,50m,3,1,0.875,0.75,1,1,0.777777778,0.818181818,0.333333333,0.606925322,0.179487179
26/05/2022,50m,3,1,0.854166667,0.5,0.818181818,1,1,0.916666667,0.166666667,0.985141386,0.032258065
26/05/2022,50m,3,1,0.833333333,0.555555556,0.9,0.8,0.888888889,1,0.166666667,0.84161824,-0.061946903
26/05/2022,50m,3,1,0.8125,0.6,1,0.666666667,0.9,0.857142857,0.166666667,0.985141386,0.04
19/01/2022,15-30m,4,2,0.71875,0.842105263,0.947368421,0.590909091,0.736842105,0.470588235,0.333333333,0.399806108,0.168831169
19/01/2022,15-30m,4,2,0.5625,0.684210526,0.526315789,0.631578947,0.5,0.476190476,0.375,0.121318284,0.215686275
19/01/2022,15-30m,4,2,0.614583333,0.722222222,0.789473684,0.5,0.736842105,0.363636364,0.291666667,0.392587662,0.089285714
19/01/2022,15-30m,4,2,0.645833333,0.75,0.947368421,0.4375,0.636363636,0.421052632,0.291666667,0.73681787,0.141052632
19/01/2022,15-30m,4,2,0.65625,0.684210526,0.818181818,0.6875,0.882352941,0.272727273,0.291666667,0.73681787,0.097345133
19/01/2022,15-30m,4,2,0.645833333,0.476190476,0.947368421,0.631578947,0.9375,0.333333333,0.291666667,0.73681787,0.097345133
19/01/2022,15-30m,4,2,0.635416667,0.65,0.842105263,0.523809524,0.631578947,0.529411765,0.458333333,0.06193796,0.333333333
19/01/2022,15-30m,4,2,0.614583333,0.75,0.875,0.476190476,0.611111111,0.428571429,0.375,0.405533926,0.237288136
19/01/2022,15-30m,4,2,0.645833333,0.722222222,0.85,0.6,0.684210526,0.368421053,0.333333333,0.233795831,0.177730193
14/02/2022,15-30m,4,2,0.541666667,0.6,0.75,0.6875,0.45,0.25,0.333333333,0.576195352,0.179487179
14/02/2022,15-30m,4,2,0.541666667,0.454545455,0.823529412,0.684210526,0.555555556,0.25,0.416666667,0.13187863,0.272727273
14/02/2022,15-30m,4,2,0.59375,0.578947368,0.80952381,0.736842105,0.625,0.238095238,0.5,0.067658779,0.373913043
19/01/2022,15m,4,2,0.645833333,0.7,1,0.777777778,0.6,0.2,0.416666667,0.157643676,0.243243243
19/01/2022,15m,4,2,0.541666667,0.875,0.818181818,0.5,0.333333333,0.2,0.5,0.177722456,0.357142857
19/01/2022,15m,4,2,0.604166667,0.583333333,1,0.545454545,0.875,0.272727273,0.333333333,0.927001953,0.119266055
19/01/2022,15m,4,2,0.6875,0.875,0.777777778,0.7,0.8,0.363636364,0.416666667,0.368479286,0.229357798
19/01/2022,15m,4,2,0.5625,0.666666667,1,0.636363636,0.444444444,0.181818182,0.166666667,0.946048574,-0.025641026
19/01/2022,15m,4,2,0.604166667,0.583333333,0.916666667,0.777777778,0.333333333,0.166666667,0.416666667,0.806152344,0.222222222
19/01/2022,15m,4,2,0.458333333,0.555555556,0.75,0.454545455,0.444444444,0.181818182,0.416666667,0.368479286,0.269565217
19/01/2022,15m,4,2,0.708333333,0.888888889,1,0.777777778,0.5,0.444444444,0.5,0.054402232,0.384615385
19/01/2022,15m,4,2,0.583333333,1,0.777777778,0.5,0.545454545,0.272727273,0.25,0.932866946,0.084745763
19/01/2022,15m,4,2,0.604166667,0.545454545,0.888888889,0.5,0.6,0.5,0.333333333,0.606925322,0.172413793
19/01/2022,30m,4,2,0.645833333,0.666666667,1,0.5,0.818181818,0.333333333,0.333333333,0.808403993,0.165217391
19/01/2022,30m,4,2,0.5625,0.454545455,0.555555556,0.5,0.888888889,0.454545455,0.166666667,0.946048574,0.008264463
19/01/2022,30m,4,2,0.708333333,1,1,0.444444444,0.818181818,0.125,0.333333333,0.606925322,0.172413793
19/01/2022,30m,4,2,0.541666667,0.75,0.888888889,0.3,0.6,0.272727273,0.25,0.818877354,0.044247788
