"","cp","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC","k","repetitions"
"260",0.001,0.360619047619048,0.199941203462836,0.147444842049915,0.181345982443443,"2022-01-19","30m",4,10,10
"261",0.001,0.47547619047619,0.345534232299416,0.171638796730838,0.208833294766963,"2022-01-19","15m",0,10,10
"262",0.001,0.408876984126984,0.26208409364438,0.174415753978916,0.215216469732795,"2022-01-19","15m",4,10,10
"263",0.001,0.33422619047619,0.166483423238028,0.143108682567572,0.176143811925264,"2022-01-19","15-30m",0,10,10
"264",0.001,0.408876984126984,0.26208409364438,0.174415753978916,0.215216469732795,"2022-01-19","15-30m",6,10,10
"265",0.001,0.609662698412698,0.509506136992702,0.167306061966632,0.209578692804606,"2022-02-03","15m",0,10,10
"266",0.001,0.539154761904762,0.417842250990625,0.169748772451738,0.2134524422847,"2022-02-03","15m",3,10,10
"267",0.001,0.44527380952381,0.30265540715341,0.177709516421612,0.219310246116927,"2022-02-03","30m",0,10,10
"268",0.001,0.304380952380952,0.131365887693912,0.163069200549198,0.200437702036225,"2022-02-03","30m",4,10,10
"269",0.001,0.389821428571429,0.234565058557368,0.166812223854281,0.205567518671474,"2022-02-03","15-30m",0,10,10
"270",0.001,0.304380952380952,0.131365887693912,0.163069200549198,0.200437702036225,"2022-02-03","15-30m",6,10,10
"271",0.001,0.745809523809524,0.67613938455629,0.158162719506325,0.201864565877169,"2022-03-09","15m",0,10,10
"272",0.001,0.760230158730159,0.699262896587257,0.159710173900785,0.198784748867641,"2022-03-09","15m",2,10,10
"273",0.001,0.722654761904762,0.649044351335383,0.170621870620809,0.213579512885452,"2022-03-09","30m",0,10,10
"274",0.001,0.781297619047619,0.722535309529507,0.159825342922426,0.201732424817939,"2022-03-09","30m",2,10,10
"275",0.001,0.80722619047619,0.755611522576564,0.155034378763087,0.195160544712139,"2022-03-09","15-30m",0,10,10
"276",0.001,0.781297619047619,0.722535309529507,0.159825342922426,0.201732424817939,"2022-03-09","15-30m",3,10,10
"277",0.001,0.165821428571429,-0.0325729026748405,0.134958327537747,0.163852546568253,"2022-06-02","50m",0,10,10
"278",0.001,0.185496031746032,-0.0145733933650988,0.140571750874241,0.173154961471217,"2022-06-02","50m",2,10,10
"279",0.001,0.259154761904762,0.0733721162766468,0.144030444617151,0.175221254998294,"2022-05-26","15m",0,10,10
"280",0.001,0.160357142857143,-0.0434049618194233,0.117937282357687,0.146974422132462,"2022-05-26","15m",3,10,10
"281",0.001,0.335630952380952,0.169741365300657,0.195048701457167,0.241595027837364,"2022-05-26","50m",0,10,10
"282",0.001,0.161027777777778,-0.0389575670690412,0.131831583118171,0.157648184125908,"2022-05-26","50m",3,10,10
"283",0.001,0.171857142857143,-0.0298214695046807,0.144963776297067,0.172096262310351,"2022-05-26","30m",0,10,10
"284",0.001,0.250071428571429,0.0634742089503427,0.149833066749682,0.184888522193346,"2022-05-26","30m",3,10,10
"285",0.001,0.206452380952381,0.011661468387453,0.132462236837186,0.158150319644108,"2022-05-26","15-30-50m",0,10,10
"286",0.001,0.250071428571429,0.0634742089503427,0.149833066749682,0.184888522193346,"2022-05-26","15-30-50m",5,10,10
"287",0.001,0.853107142857143,0.814296992394296,0.129703685678938,0.163226620482548,"2022-03-22","50m",0,10,10
"288",0.001,0.845333333333333,0.804688463422089,0.134165794396987,0.168907576506834,"2022-03-22","50m",2,10,10
"289",0.001,0.683428571428571,0.605589819772894,0.128491758224255,0.156491228671801,"2022-04-19","50m",0,10,10
"290",0.001,0.470928571428571,0.342269861292674,0.190135064606741,0.228068647222944,"2022-04-19","50m",3,10,10
"291",0.001,0.78,0.722488657621714,0.133202067247401,0.164838948303568,"2022-04-05","50m",0,10,10
"292",0.001,0.701277777777778,0.621661043963985,0.128713492408051,0.160238713560539,"2022-04-05","50m",4,10,10
"293",0.001,0.375428571428571,0.220122180886678,0.140148740735566,0.171107197235512,"2022-05-03","50m",0,10,10
"294",0.001,0.42797619047619,0.283013911259366,0.179116252401334,0.224837994067203,"2022-05-03","50m",3,10,10
"295",0.001,0.647773809523809,0.560677174034405,0.141744166880626,0.173345277906736,"2022-02-14","15m",0,10,10
"296",0.001,0.585940476190476,0.479405868462559,0.205901229721853,0.256912599192526,"2022-02-14","15m",3,10,10
"297",0.001,0.580547619047619,0.473460292006457,0.184015476946216,0.22611895850639,"2022-02-14","30m",0,10,10
"298",0.001,0.306654761904762,0.137505119975675,0.148248542898001,0.1817975073305,"2022-02-14","30m",3,10,10
"299",0.001,0.47415873015873,0.342387045053008,0.163720867789542,0.202641230407134,"2022-02-14","15-30m",0,10,10
"300",0.001,0.306654761904762,0.137505119975675,0.148248542898001,0.1817975073305,"2022-02-14","15-30m",4,10,10
"301",0.001,0.357071428571429,0.194966462493337,0.170504650094883,0.207904301664336,"2022-01-19","30m",0,10,10
"302",0.001,0.362428571428571,0.200381354626508,0.176572126721232,0.212937985383243,"2022-01-19","30m",4,10,10
"303",0.001,0.490833333333333,0.360642906914208,0.176691928730123,0.215783234437237,"2022-01-19","15m",0,10,10
"304",0.001,0.41647619047619,0.269425482625262,0.209130627194721,0.257979551740368,"2022-01-19","15m",4,10,10
"305",0.001,0.333404761904762,0.165349843445332,0.150778728281154,0.184987332480141,"2022-01-19","15-30m",0,10,10
"306",0.001,0.41647619047619,0.269425482625262,0.209130627194721,0.257979551740368,"2022-01-19","15-30m",6,10,10
"307",0.001,0.571678571428571,0.464723446283071,0.186587921122463,0.230309199712092,"2022-02-03","15m",0,10,10
"308",0.001,0.546126984126984,0.431157228837417,0.182059148539595,0.226021966797427,"2022-02-03","15m",3,10,10
"309",0.001,0.443702380952381,0.301786271416219,0.196243867494541,0.23971327654831,"2022-02-03","30m",0,10,10
"310",0.001,0.314178571428571,0.143351199828192,0.174976406072137,0.209732428866086,"2022-02-03","30m",4,10,10
"311",0.001,0.376047619047619,0.222517870162092,0.163903019561394,0.199550857248307,"2022-02-03","15-30m",0,10,10
"312",0.001,0.314178571428571,0.143351199828192,0.174976406072137,0.209732428866086,"2022-02-03","15-30m",6,10,10
"313",0.001,0.728130952380952,0.657351324712729,0.182950135732396,0.229070974805561,"2022-03-09","15m",0,10,10
"314",0.001,0.758702380952381,0.69569127168938,0.166738173950993,0.210058205327387,"2022-03-09","15m",2,10,10
"315",0.001,0.730730158730159,0.659935661302732,0.192243189548588,0.24329158187577,"2022-03-09","30m",0,10,10
"316",0.001,0.774297619047619,0.71353711368493,0.159014004416693,0.200987058019869,"2022-03-09","30m",2,10,10
"317",0.001,0.800944444444444,0.747820357211811,0.140280571736835,0.175964845752338,"2022-03-09","15-30m",0,10,10
"318",0.001,0.774297619047619,0.71353711368493,0.159014004416693,0.200987058019869,"2022-03-09","15-30m",3,10,10
