"","mincriterion","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC"
"158",0.05,0.192166666666667,0.00259752714837527,0.119329413959583,0.147405987150396,"2022-05-26","50m",3
"159",0.05,0.186880952380952,0.00846067997040371,0.0898560396335809,0.111292519799719,"2022-05-26","15m",0
"160",0.05,0.19927380952381,0.00501799037689587,0.143653573494425,0.174307929924131,"2022-05-26","15m",3
"161",0.05,0.235488095238095,0.0540419032007057,0.139015268722693,0.1706064861247,"2022-05-26","30m",0
"162",0.05,0.267301587301587,0.101274521518964,0.127369957074537,0.15358932659584,"2022-05-26","30m",3
"163",0.05,0.531230103230103,0.412686766251471,0.126816897506601,0.15667070978534,"2022-02-14","15-30m",0
"164",0.05,0.459844988344988,0.322604971419784,0.13442920179592,0.167453710599718,"2022-02-14","15-30m",3
"165",0.05,0.684603174603175,0.604285948769958,0.184675094566927,0.229732878116843,"2022-02-14","15m",0
"166",0.05,0.535039682539682,0.416604975271402,0.165158400014709,0.205214130683695,"2022-02-14","15m",3
"167",0.05,0.48818253968254,0.358797679086987,0.171119340461108,0.212503379635792,"2022-02-14","30m",0
"168",0.05,0.41034126984127,0.261364944494643,0.150638530840703,0.183865410650807,"2022-02-14","30m",3
"169",0.05,0.365680819180819,0.204572660147219,0.116343374551961,0.145870250709957,"2022-02-03","15-30m",0
"170",0.05,0.367915584415584,0.210372808393448,0.121622917689932,0.151859885032462,"2022-02-03","15-30m",3
"171",0.05,0.478210317460317,0.344728487263244,0.162665483269993,0.199446983753672,"2022-02-03","30m",0
"172",0.05,0.34077380952381,0.181048087838648,0.153416878338271,0.187397386440652,"2022-02-03","30m",4
"173",0.05,0.549785714285714,0.436091667781272,0.146334186703648,0.182740421695632,"2022-02-03","15m",0
"174",0.05,0.541357142857143,0.424351377613866,0.171925354753559,0.217421506808577,"2022-02-03","15m",3
"175",0.05,0.458345238095238,0.322558538336129,0.176153543751472,0.216029339446085,"2022-05-03","50m",0
"176",0.05,0.259833333333333,0.077517216936354,0.143054179093674,0.17461279258181,"2022-05-03","50m",3
"177",0.05,0.330864968364968,0.162340276800295,0.126120441831486,0.155530003550161,"2022-01-19","15-30m",0
