mincriterion,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
0.05,0.3685,0.207609242,0.176302194,0.224535801,0.5,0.177722456,0.307692308,3,14/02/2022,30m,10,10
0.05,0.406333333,0.252494211,0.147019629,0.184138758,0.416666667,0.13187863,0.289640592,0,03/02/2022,15-30m,10,10
0.05,0.427027778,0.282619002,0.142543858,0.17764809,0.375,0.245115903,0.225806452,3,03/02/2022,15-30m,10,10
0.05,0.531,0.406060764,0.192319121,0.236603806,0.333333333,0.606925322,0.157894737,0,03/02/2022,30m,10,10
0.05,0.3505,0.189517435,0.171454054,0.208726988,0.166666667,0.946048574,-0.071428571,4,03/02/2022,30m,10,10
0.05,0.534,0.404635238,0.168062962,0.208417834,0.5,0.379768823,0.357142857,0,03/02/2022,15m,10,10
0.05,0.407071429,0.248275509,0.179034498,0.215256851,0.583333333,0.189264302,0.482758621,3,03/02/2022,15m,10,10
0.05,0.553,0.442961135,0.185265,0.225675508,0.25,0.818877354,0.068965517,0,03/05/2022,50m,10,10
0.05,0.338,0.172930814,0.189142432,0.22346877,0.25,0.818877354,0.114754098,3,03/05/2022,50m,10,10
0.05,0.286459596,0.103339979,0.118016109,0.147609175,0.208333333,0.753351559,0.023554604,0,19/01/2022,15-30m,10,10
0.05,0.281030664,0.099206333,0.13065757,0.161692641,0.291666667,0.392587662,0.14822547,4,19/01/2022,15-30m,10,10
0.05,0.305,0.13109649,0.162670958,0.203418811,0.333333333,0.606925322,0.085714286,0,19/01/2022,30m,10,10
0.05,0.2925,0.11541013,0.165048967,0.208099253,0.25,0.818877354,0.068965517,4,19/01/2022,30m,10,10
0.05,0.325547619,0.142017889,0.184068463,0.22280462,0.166666667,0.946048574,0.016393443,0,19/01/2022,15m,10,10
0.05,0.528547619,0.401024291,0.17218132,0.219689942,0.5,0.177722456,0.368421053,4,19/01/2022,15m,10,10
0.05,0.621156566,0.523893251,0.116572115,0.146281222,0.875,6.14E-08,0.839285714,0,09/03/2022,15-30m,10,10
0.05,0.657585859,0.569488869,0.132337192,0.166591067,0.791666667,5.48E-06,0.733333333,3,09/03/2022,15-30m,10,10
0.05,0.573,0.461450238,0.156630127,0.193508251,0.666666667,0.00278151,0.571428571,0,09/03/2022,15m,10,10
0.05,0.6465,0.554186354,0.146149513,0.184968154,0.666666667,0.00278151,0.578947368,2,09/03/2022,15m,10,10
0.05,0.765833333,0.697844962,0.144878427,0.184544267,0.333333333,0.927001953,0.278195489,0,09/03/2022,30m,10,10
0.05,0.772238095,0.707193077,0.155142803,0.198658319,0.166666667,0.996826172,0.117647059,2,09/03/2022,30m,10,10
0.05,0.412333333,0.226417643,0.137762857,0.162775865,0.083333333,0.992292653,0.043478261,0,02/06/2022,50m,10,10
0.05,0.348642857,0.140918265,0.158469936,0.201076929,0,1,-0.043478261,2,02/06/2022,50m,10,10
0.05,0.772,0.710079365,0.118347204,0.15079979,0.583333333,0.06644764,0.504132231,0,22/03/2022,50m,10,10
0.05,0.797166667,0.742676519,0.104957236,0.132568698,0.666666667,0.018758432,0.596638655,2,22/03/2022,50m,10,10
0.05,0.6115,0.514935897,0.12850463,0.157267434,0.583333333,0.014252782,0.487179487,0,19/04/2022,50m,10,10
0.05,0.626166667,0.529990842,0.172868695,0.214926658,0.333333333,0.351221383,0.172413793,3,19/04/2022,50m,10,10
0.05,0.795238095,0.737536584,0.131186332,0.167265559,0.666666667,0.018758432,0.593220339,0,05/04/2022,50m,10,10
0.05,0.794238095,0.736822609,0.124178595,0.158653546,0.666666667,0.018758432,0.593220339,4,05/04/2022,50m,10,10
0.05,0.255401099,0.057536413,0.099625742,0.12402586,0.166666667,0.992431173,0.019963702,0,26/05/2022,15-30-50m,10,10
0.05,0.222496822,0.014762015,0.094361129,0.115011924,0.111111111,0.999510568,0.021240442,3,26/05/2022,15-30-50m,10,10
0.05,0.29252381,0.122991046,0.155849407,0.186436071,0.25,0.932866946,0.092436975,0,26/05/2022,50m,10,10
0.05,0.235,0.048921064,0.161406904,0.191723594,0.166666667,0.985141386,-0.016949153,3,26/05/2022,50m,10,10
0.05,0.277833333,0.094951804,0.158717061,0.19563303,0.25,0.818877354,0.035714286,0,26/05/2022,15m,10,10
0.05,0.277666667,0.083581056,0.195347398,0.237116265,0,1,-0.190082645,3,26/05/2022,15m,10,10
0.05,0.2,-0.01030766,0.100336135,0.115584934,0.083333333,0.992292653,0,0,26/05/2022,30m,10,10
