mincriterion,Accuracy_train,Kappa_train,AccuracySD_train,KappaSD_train,Accuracy_test,AccuracyPValue_test,Kappa_test,PC,date,alt,k,repetitions
0.05,0.405202381,0.25589664,0.186466688,0.22738826,NA,NA,NA,4,19/01/2022,15m,10,10
0.05,0.686908591,0.607262916,0.114555745,0.143129672,NA,NA,NA,0,09/03/2022,15-30m,10,10
0.05,0.675255911,0.592048848,0.116551395,0.146067544,NA,NA,NA,3,09/03/2022,15-30m,10,10
0.05,0.732869048,0.659981742,0.16358318,0.206740075,NA,NA,NA,0,09/03/2022,15m,10,10
0.05,0.726119048,0.655512841,0.151910482,0.188845518,NA,NA,NA,2,09/03/2022,15m,10,10
0.05,0.746119048,0.67926694,0.164638646,0.20553958,NA,NA,NA,0,09/03/2022,30m,10,10
0.05,0.764293651,0.702551953,0.142290096,0.178186287,NA,NA,NA,2,09/03/2022,30m,10,10
0.05,0.306464286,0.136667253,0.103882472,0.125872908,NA,NA,NA,0,02/06/2022,50m,10,10
0.05,0.158309524,-0.04809389,0.119133685,0.144871649,NA,NA,NA,2,02/06/2022,50m,10,10
0.05,0.779650794,0.723124007,0.167751866,0.207826183,NA,NA,NA,0,22/03/2022,50m,10,10
0.05,0.848619048,0.807876232,0.133306996,0.167950472,NA,NA,NA,2,22/03/2022,50m,10,10
0.05,0.664265873,0.581286674,0.124863322,0.154007844,NA,NA,NA,0,19/04/2022,50m,10,10
0.05,0.481519841,0.352100167,0.18082795,0.225784616,NA,NA,NA,3,19/04/2022,50m,10,10
0.05,0.704503968,0.628894064,0.133217009,0.163247958,NA,NA,NA,0,05/04/2022,50m,10,10
0.05,0.696261905,0.616404884,0.156812644,0.195869854,NA,NA,NA,4,05/04/2022,50m,10,10
0.05,0.2390258,0.050265208,0.084140494,0.10233148,NA,NA,NA,0,26/05/2022,15-30-50m,10,10
0.05,0.280615497,0.10299475,0.098994536,0.123349363,NA,NA,NA,3,26/05/2022,15-30-50m,10,10
0.05,0.318575397,0.159467365,0.167582961,0.202981687,NA,NA,NA,0,26/05/2022,50m,10,10
0.05,0.182837302,-0.007360519,0.119588363,0.148314825,NA,NA,NA,3,26/05/2022,50m,10,10
0.05,0.187107143,0.010056795,0.109974871,0.129235648,NA,NA,NA,0,26/05/2022,15m,10,10
0.05,0.193837302,-0.003311378,0.14145791,0.174326209,NA,NA,NA,3,26/05/2022,15m,10,10
0.05,0.238349206,0.053067986,0.142164622,0.173419519,NA,NA,NA,0,26/05/2022,30m,10,10
0.05,0.262071429,0.096807489,0.125561569,0.150673364,NA,NA,NA,3,26/05/2022,30m,10,10
0.05,0.53903047,0.422737206,0.109391005,0.135452129,NA,NA,NA,0,14/02/2022,15-30m,10,10
0.05,0.457509824,0.319967195,0.125891058,0.156169,NA,NA,NA,3,14/02/2022,15-30m,10,10
0.05,0.704904762,0.628547401,0.163964322,0.202491945,NA,NA,NA,0,14/02/2022,15m,10,10
0.05,0.551202381,0.43689572,0.158336045,0.194544757,NA,NA,NA,3,14/02/2022,15m,10,10
0.05,0.500424603,0.372960027,0.156324109,0.189170319,NA,NA,NA,0,14/02/2022,30m,10,10
0.05,0.402952381,0.252521602,0.165233376,0.208569565,NA,NA,NA,3,14/02/2022,30m,10,10
0.05,0.354074759,0.192820926,0.126094213,0.156341194,NA,NA,NA,0,03/02/2022,15-30m,10,10
0.05,0.362534632,0.202204696,0.114822171,0.145177879,NA,NA,NA,3,03/02/2022,15-30m,10,10
0.05,0.47902381,0.346483592,0.160525184,0.196543837,NA,NA,NA,0,03/02/2022,30m,10,10
0.05,0.329071429,0.16355357,0.144972038,0.179581958,NA,NA,NA,4,03/02/2022,30m,10,10
0.05,0.54072619,0.424858422,0.167487952,0.20494206,NA,NA,NA,0,03/02/2022,15m,10,10
0.05,0.51472619,0.391336235,0.185014643,0.231172867,NA,NA,NA,3,03/02/2022,15m,10,10
0.05,0.465103175,0.329047158,0.182023208,0.225010578,NA,NA,NA,0,03/05/2022,50m,10,10
0.05,0.30465873,0.134154151,0.139231575,0.169996222,NA,NA,NA,3,03/05/2022,50m,10,10
