"","mincriterion","Accuracy","Kappa","AccuracySD","KappaSD","date","alt","PC","k","repetitions"
"129",0.05,0.486257936507936,0.361214344845536,0.137746067337458,0.165045473362877,"2022-02-14","30m",0,10,10
"130",0.05,0.405456349206349,0.258802173493544,0.157854460482814,0.192481954186789,"2022-02-14","30m",3,10,10
"131",0.05,0.523773809523809,0.402395304681336,0.154725775095986,0.190818026619877,"2022-02-14","15-30m",0,10,10
"132",0.05,0.405456349206349,0.258802173493544,0.157854460482814,0.192481954186789,"2022-02-14","15-30m",4,10,10
"133",0.05,0.332484126984127,0.183069218867913,0.0945492938637012,0.107301915003665,"2022-01-19","30m",0,10,10
"134",0.05,0.373357142857143,0.217231034648135,0.17579131200826,0.211905833193631,"2022-01-19","30m",4,10,10
"135",0.05,0.343678571428571,0.184018742783568,0.118388833169305,0.136773603994652,"2022-01-19","15m",0,10,10
"136",0.05,0.435412698412698,0.291326836876146,0.217763124649897,0.268971755204144,"2022-01-19","15m",4,10,10
"137",0.05,0.338690476190476,0.169510583685751,0.18939383288666,0.231578133606956,"2022-01-19","15-30m",0,10,10
"138",0.05,0.435412698412698,0.291326836876146,0.217763124649897,0.268971755204144,"2022-01-19","15-30m",6,10,10
"139",0.05,0.522773809523809,0.405007244684344,0.161140399867638,0.192931950107994,"2022-02-03","15m",0,10,10
"140",0.05,0.52297619047619,0.40266613381249,0.158766455085319,0.195267991972416,"2022-02-03","15m",3,10,10
"141",0.05,0.46547619047619,0.331514420271748,0.156402211186519,0.19154683362019,"2022-02-03","30m",0,10,10
"142",0.05,0.341952380952381,0.174973210707659,0.153376165522674,0.188138781852254,"2022-02-03","30m",4,10,10
"143",0.05,0.413119047619048,0.266323765269345,0.14427943375908,0.179517127095274,"2022-02-03","15-30m",0,10,10
"144",0.05,0.341952380952381,0.174973210707659,0.153376165522674,0.188138781852254,"2022-02-03","15-30m",6,10,10
"145",0.05,0.715690476190476,0.641092031221837,0.182225746417495,0.22744928184021,"2022-03-09","15m",0,10,10
"146",0.05,0.724416666666667,0.651841934965666,0.146326762884388,0.182629979468864,"2022-03-09","15m",2,10,10
"147",0.05,0.75597619047619,0.692563443001166,0.150996482026772,0.187775658795177,"2022-03-09","30m",0,10,10
"148",0.05,0.752107142857143,0.68799197487201,0.156717110141635,0.194028718573675,"2022-03-09","30m",2,10,10
"149",0.05,0.816559523809524,0.767339390876846,0.148004130754521,0.186286879827855,"2022-03-09","15-30m",0,10,10
"150",0.05,0.752107142857143,0.68799197487201,0.156717110141635,0.194028718573675,"2022-03-09","15-30m",3,10,10
"151",0.05,0.31759126984127,0.154543492833817,0.0954604829490533,0.109035308761868,"2022-06-02","50m",0,10,10
"152",0.05,0.142238095238095,-0.0581353790288094,0.126892156449034,0.157124921335015,"2022-06-02","50m",2,10,10
"153",0.05,0.176194444444444,0.0025424562493528,0.0326800380163604,0.0181946693748309,"2022-05-26","15m",0,10,10
"154",0.05,0.199579365079365,0.00635203742087834,0.132475723566022,0.164733034194182,"2022-05-26","15m",3,10,10
"155",0.05,0.288527777777778,0.121749144843169,0.132895934918183,0.149103633968438,"2022-05-26","50m",0,10,10
"156",0.05,0.176714285714286,-0.0219593395426723,0.126709696243081,0.154883183385744,"2022-05-26","50m",3,10,10
"157",0.05,0.153861111111111,-0.0271377741488579,0.0656099894458716,0.0829642970052431,"2022-05-26","30m",0,10,10
"158",0.05,0.262642857142857,0.0964385111964183,0.118970607606432,0.143749609730536,"2022-05-26","30m",3,10,10
"159",0.05,0.217809523809524,0.032098971307884,0.151940529068088,0.186061073704925,"2022-05-26","15-30-50m",0,10,10
"160",0.05,0.262642857142857,0.0964385111964183,0.118970607606432,0.143749609730536,"2022-05-26","15-30-50m",5,10,10
"161",0.05,0.774690476190476,0.713472646315099,0.17721616707018,0.222186897371065,"2022-03-22","50m",0,10,10
"162",0.05,0.843821428571429,0.802988557811373,0.124276312190558,0.155097053329299,"2022-03-22","50m",2,10,10
"163",0.05,0.654440476190476,0.568127987068629,0.126673824398045,0.15594207636629,"2022-04-19","50m",0,10,10
"164",0.05,0.528714285714286,0.417724646476392,0.169398544360868,0.2025652383887,"2022-04-19","50m",3,10,10
