"","mtry","date","alt","PC","OOB","X35","X70","X140","X280","X560","Accuracy_test","AccuracyPValue_test","Kappa_test","split"
"341",4,"09/03/2022","30m",0,0.19047619,0.5,0.2,0,0.3,0.111111111,0.722222222,0.01624167,0.645669291,"7030split"
"342",4,"09/03/2022","30m",0,0.214285714,0.375,0.333333333,0,0.285714286,0.111111111,0.777777778,1.51e-05,0.71875,"7030split"
"343",4,"09/03/2022","30m",0,0.19047619,0.1,0.125,0.25,0.375,0.125,0.722222222,8.73e-06,0.651162791,"7030split"
"344",4,"09/03/2022","30m",0,0.285714286,0.428571429,0.2,0.285714286,0.272727273,0.285714286,0.888888889,1.05e-07,0.853061224,"7030split"
"345",4,"09/03/2022","30m",0,0.357142857,0.3,0.333333333,0.5,0.375,0.333333333,0.944444444,9.55e-08,0.928571429,"7030split"
"346",4,"09/03/2022","30m",0,0.285714286,0.285714286,0.333333333,0.25,0.272727273,0.272727273,0.833333333,0.000849896,0.755656109,"7030split"
"347",4,"09/03/2022","30m",0,0.261904762,0.2,0.375,0.166666667,0.3,0.25,0.888888889,1.68e-06,0.853658537,"7030split"
"348",4,"09/03/2022","30m",0,0.214285714,0.25,0.25,0.111111111,0.375,0.111111111,0.833333333,6.45e-08,0.790697674,"7030split"
"349",4,"09/03/2022","30m",0,0.142857143,0,0.333333333,0,0.285714286,0.222222222,0.611111111,0.014433622,0.526315789,"7030split"
"350",4,"09/03/2022","30m",0,0.238095238,0.375,0.375,0,0.333333333,0.142857143,0.833333333,1.5e-06,0.787401575,"7030split"
"351",4,"26/05/2022","30m",0,0.928571429,0.818181818,1,1,1,0.875,0.277777778,0.588592566,0.096525097,"7030split"
"352",4,"26/05/2022","30m",0,0.857142857,1,0.875,0.7,0.75,1,0.111111111,0.933354633,-0.11627907,"7030split"
"353",4,"26/05/2022","30m",0,0.857142857,0.875,1,0.888888889,0.75,0.777777778,0.166666667,0.797849766,-0.042471042,"7030split"
"354",4,"26/05/2022","30m",0,0.80952381,0.888888889,1,0.875,0.75,0.636363636,0.111111111,0.993233605,-0.078651685,"7030split"
"355",4,"26/05/2022","30m",0,0.857142857,0.888888889,0.875,0.666666667,0.9,1,0.277777778,0.768927616,0.139705882,"7030split"
"356",4,"26/05/2022","30m",0,0.833333333,0.777777778,0.888888889,0.777777778,1,0.777777778,0.166666667,0.967352145,-0.011235955,"7030split"
"357",4,"26/05/2022","30m",0,0.785714286,0.666666667,0.75,0.75,1,0.8,0.166666667,0.912667724,-0.058823529,"7030split"
"358",4,"26/05/2022","30m",0,0.761904762,0.625,0.75,0.6,0.875,1,0.055555556,0.989150754,-0.133333333,"7030split"
"359",4,"26/05/2022","30m",0,0.833333333,0.875,0.9,1,0.545454545,1,0.111111111,0.998240087,-0.010526316,"7030split"
"360",4,"26/05/2022","30m",0,0.833333333,0.875,0.833333333,0.666666667,1,0.833333333,0.111111111,0.993233605,-0.066666667,"7030split"
"361",4,"22/03/2022","50m",0,0.119047619,0.142857143,0,0.111111111,0.125,0.2,0.944444444,4.63e-09,0.9296875,"7030split"
"362",4,"22/03/2022","50m",0,0.19047619,0.333333333,0.111111111,0.125,0.222222222,0.2,0.944444444,9.55e-08,0.928286853,"7030split"
"363",4,"22/03/2022","50m",0,0.095238095,0.125,0.142857143,0.125,0.125,0,0.833333333,1.5e-06,0.791505792,"7030split"
"364",4,"22/03/2022","50m",0,0.095238095,0.1,0.142857143,0,0.142857143,0.111111111,0.722222222,0.000113749,0.645669291,"7030split"
